0,Date,Country,State,City,AvgTemperature,AvgTemperature_2
0,01/01/2012,US,Alabama,Birmingham,59.1,118.2
1,01/02/2012,US,Alabama,Birmingham,43.0,86.0
2,01/03/2012,US,Alabama,Birmingham,30.9,61.8
3,01/04/2012,US,Alabama,Birmingham,34.7,69.4
4,01/05/2012,US,Alabama,Birmingham,44.1,88.2
5,01/06/2012,US,Alabama,Birmingham,46.3,92.6
6,01/07/2012,US,Alabama,Birmingham,60.6,121.2
7,01/08/2012,US,Alabama,Birmingham,57.4,114.8
8,01/09/2012,US,Alabama,Birmingham,59.8,119.6
9,01/10/2012,US,Alabama,Birmingham,59.4,118.8
10,01/11/2012,US,Alabama,Birmingham,56.4,112.8
11,01/12/2012,US,Alabama,Birmingham,46.8,93.6
12,01/13/2012,US,Alabama,Birmingham,31.6,63.2
13,01/14/2012,US,Alabama,Birmingham,37.7,75.4
14,01/15/2012,US,Alabama,Birmingham,44.0,88.0
15,01/16/2012,US,Alabama,Birmingham,51.0,102.0
16,01/17/2012,US,Alabama,Birmingham,59.3,118.6
17,01/18/2012,US,Alabama,Birmingham,50.1,100.2
18,01/19/2012,US,Alabama,Birmingham,40.8,81.6
19,01/20/2012,US,Alabama,Birmingham,57.9,115.8
20,01/21/2012,US,Alabama,Birmingham,64.2,128.4
21,01/22/2012,US,Alabama,Birmingham,54.1,108.2
22,01/23/2012,US,Alabama,Birmingham,66.2,132.4
23,01/24/2012,US,Alabama,Birmingham,52.6,105.2
24,01/25/2012,US,Alabama,Birmingham,57.6,115.2
25,01/26/2012,US,Alabama,Birmingham,63.8,127.6
26,01/27/2012,US,Alabama,Birmingham,51.7,103.4
27,01/28/2012,US,Alabama,Birmingham,46.0,92.0
28,01/29/2012,US,Alabama,Birmingham,40.5,81.0
29,01/30/2012,US,Alabama,Birmingham,44.7,89.4
30,01/31/2012,US,Alabama,Birmingham,52.8,105.6
31,02/01/2012,US,Alabama,Birmingham,58.5,117.0
32,02/02/2012,US,Alabama,Birmingham,59.7,119.4
33,02/03/2012,US,Alabama,Birmingham,55.9,111.8
34,02/04/2012,US,Alabama,Birmingham,60.7,121.4
35,02/05/2012,US,Alabama,Birmingham,57.9,115.8
36,02/06/2012,US,Alabama,Birmingham,49.5,99.0
37,02/07/2012,US,Alabama,Birmingham,47.9,95.8
38,02/08/2012,US,Alabama,Birmingham,49.8,99.6
39,02/09/2012,US,Alabama,Birmingham,41.4,82.8
